date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,one_yr_monthly_beta
13/12/2018,13/12/2018,8.48E+11,7.913,14.2422,0.020346,0.070214,0.5345
12/12/2018,12/12/2018,8.39E+11,7.8274,14.0881,0.020569,0.070982,0.5345
11/12/2018,11/12/2018,8.36E+11,7.8056,14.0489,0.020626,0.07118,0.5345
10/12/2018,10/12/2018,8.41E+11,7.8505,14.1297,0.020508,0.070773,0.5345
07/12/2018,07/12/2018,8.36E+11,7.7991,14.0373,0.020643,0.071239,0.5345
06/12/2018,06/12/2018,8.67E+11,8.0875,14.5563,0.019907,0.068699,0.5345
04/12/2018,04/12/2018,8.76E+11,8.1787,14.7204,0.019685,0.067933,0.5345
03/12/2018,03/12/2018,9.17E+11,8.555,15.3978,0.018819,0.064945,0.5345
30/11/2018,30/11/2018,8.86E+11,8.2662,14.8779,0.019477,0.067214,0.5345
29/11/2018,29/11/2018,8.91E+11,8.3111,14.9587,0.019371,0.066851,0.5345
28/11/2018,28/11/2018,8.97E+11,8.3754,15.0745,0.019223,0.066337,0.5345
27/11/2018,27/11/2018,8.64E+11,8.0653,14.5163,0.019962,0.068888,0.5345
26/11/2018,26/11/2018,8.66E+11,8.0829,14.548,0.019918,0.068738,0.5345
23/11/2018,23/11/2018,8.54E+11,7.975,14.3539,0.020188,0.069668,0.5345
21/11/2018,21/11/2018,8.77E+11,8.1829,14.7279,0.019675,0.067898,0.5345
20/11/2018,20/11/2018,8.78E+11,8.1921,14.7446,0.019653,0.067821,0.5345
19/11/2018,19/11/2018,9.22E+11,8.6032,15.4844,0.018714,0.064581,0.5345
16/11/2018,16/11/2018,9.60E+11,8.9582,16.1234,0.017972,0.062022,0.814
15/11/2018,15/11/2018,9.49E+11,8.8601,15.9468,0.018171,0.062709,0.814
14/11/2018,14/11/2018,9.26E+11,8.6467,15.5627,0.01862,0.064256,0.814
13/11/2018,13/11/2018,9.53E+11,8.898,16.0151,0.018094,0.062441,0.814
12/11/2018,12/11/2018,9.63E+11,8.9878,16.1767,0.017913,0.061817,0.814
09/11/2018,09/11/2018,1.01E+12,9.4646,17.0348,0.017011,0.058703,0.814
08/11/2018,08/11/2018,1.03E+12,9.6507,17.3698,0.016683,0.057571,0.814
07/11/2018,07/11/2018,1.04E+12,9.6844,17.4306,0.013107,0.05737,0.814
06/11/2018,06/11/2018,1.01E+12,9.3994,16.9175,0.013504,0.05911,0.814
