date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
07/05/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
04/05/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
03/05/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
02/05/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
01/05/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
30/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
27/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
26/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
25/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
24/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
23/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
20/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
19/04/2018,01/04/2018,23855580082,11748580082,0.337157,0.282833,0.356236,1.32,11.5838,0,1.273,0.579,2.02521,0.149752,9.020851,0.3443,1.974209,0.130509,0.001426,3.65,52673000000,18764000000,1.65E+11,94071000000,40841000000,21795000000,21795000000,159000000,-19163000000,6945000000
