date,one_yr_monthly_beta
24/02/2017,0.8418
23/02/2017,0.8418
22/02/2017,0.8418
21/02/2017,0.8418
20/02/2017,0.8418
17/02/2017,0.8418
16/02/2017,0.8418
15/02/2017,0.8418
14/02/2017,0.8418
13/02/2017,0.8418
10/02/2017,0.8418
09/02/2017,0.8418
08/02/2017,0.8418
07/02/2017,0.8418
06/02/2017,0.8418
03/02/2017,0.8418
02/02/2017,0.8418
01/02/2017,0.8418
31/01/2017,0.8418
30/01/2017,0.8763
27/01/2017,0.8763
26/01/2017,0.8763
25/01/2017,0.8763
24/01/2017,0.8763
23/01/2017,0.8763
20/01/2017,0.8763
19/01/2017,0.8763
18/01/2017,0.8763
17/01/2017,0.8763
16/01/2017,0.8763
13/01/2017,0.8763
12/01/2017,0.8763
11/01/2017,0.8763
10/01/2017,0.8763
09/01/2017,0.8763
06/01/2017,0.8763
05/01/2017,0.8763
04/01/2017,0.8763
03/01/2017,0.8763
02/01/2017,0.8763
30/12/2016,0.89
29/12/2016,0.89
28/12/2016,0.89
27/12/2016,0.89
26/12/2016,0.89
23/12/2016,0.89
22/12/2016,0.89
21/12/2016,0.89
20/12/2016,0.89
19/12/2016,0.89
16/12/2016,0.89
15/12/2016,0.89
14/12/2016,0.89
13/12/2016,0.89
12/12/2016,0.89
09/12/2016,0.89
08/12/2016,0.89
07/12/2016,0.89
06/12/2016,0.89
05/12/2016,0.89
02/12/2016,0.89
01/12/2016,0.89
30/11/2016,0.89
29/11/2016,0.9548
28/11/2016,0.9548
25/11/2016,0.9548
24/11/2016,0.9548
23/11/2016,0.9548
22/11/2016,0.9548
21/11/2016,0.9548
18/11/2016,0.9548
17/11/2016,0.9548
16/11/2016,0.9548
15/11/2016,0.9548
14/11/2016,0.9548
11/11/2016,0.9548
10/11/2016,0.9548
09/11/2016,0.9548
08/11/2016,0.9548
07/11/2016,0.9548
04/11/2016,0.9548
03/11/2016,0.9548
02/11/2016,0.9548
01/11/2016,0.9548
31/10/2016,0.9548
28/10/2016,0.8689
27/10/2016,0.8689
26/10/2016,0.8689
25/10/2016,0.8689
24/10/2016,0.8689
21/10/2016,0.8689
20/10/2016,0.8689
19/10/2016,0.8689
18/10/2016,0.8689
17/10/2016,0.8689
14/10/2016,0.8689
13/10/2016,0.8689
12/10/2016,0.8689
11/10/2016,0.8689
10/10/2016,0.8689
07/10/2016,0.8689
06/10/2016,0.8689
05/10/2016,0.8689
04/10/2016,0.8689
03/10/2016,0.8689
30/09/2016,0.8689
29/09/2016,1.0419
28/09/2016,1.0419
27/09/2016,1.0419
26/09/2016,1.0419
23/09/2016,1.0419
22/09/2016,1.0419
21/09/2016,1.0419
20/09/2016,1.0419
19/09/2016,1.0419
16/09/2016,1.0419
15/09/2016,1.0419
14/09/2016,1.0419
13/09/2016,1.0419
12/09/2016,1.0419
09/09/2016,1.0419
08/09/2016,1.0419
07/09/2016,1.0419
06/09/2016,1.0419
05/09/2016,1.0419
02/09/2016,1.0419
01/09/2016,1.0419
31/08/2016,1.0419
30/08/2016,1.0726
29/08/2016,1.0726
26/08/2016,1.0726
25/08/2016,1.0726
24/08/2016,1.0726
23/08/2016,1.0726
22/08/2016,1.0726
19/08/2016,1.0726
18/08/2016,1.0726
17/08/2016,1.0726
16/08/2016,1.0726
15/08/2016,1.0726
12/08/2016,1.0726
11/08/2016,1.0726
10/08/2016,1.0726
09/08/2016,1.0726
08/08/2016,1.0726
05/08/2016,1.0726
04/08/2016,1.0726
03/08/2016,1.0726
02/08/2016,1.0726
01/08/2016,1.0726
29/07/2016,1.0869
28/07/2016,1.0869
27/07/2016,1.0869
26/07/2016,1.0869
25/07/2016,1.0869
22/07/2016,1.0869
21/07/2016,1.0869
20/07/2016,1.0869
19/07/2016,1.0869
18/07/2016,1.0869
15/07/2016,1.0869
14/07/2016,1.0869
13/07/2016,1.0869
12/07/2016,1.0869
11/07/2016,1.0869
08/07/2016,1.0869
07/07/2016,1.0869
06/07/2016,1.0869
05/07/2016,1.0869
