date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2019-02-27,2019-02-27,251979454646.0,3.9751,22.593,0.040799,0.044262
2019-02-26,2019-02-26,252507713461.0,3.9835,22.6403,0.040713,0.044169
2019-02-25,2019-02-25,252859886004.0,3.989,22.6719,0.040657,0.044107
2019-02-22,2019-02-22,252155540917.0,3.9779,22.6088,0.04077,0.044231
2019-02-21,2019-02-21,247342516161.0,3.902,22.1772,0.041564,0.045091
2019-02-20,2019-02-20,247694688704.0,3.9075,22.2088,0.041504,0.045027
2019-02-19,2019-02-19,250042505658.0,3.9446,22.4193,0.041115,0.044604
2019-02-15,2019-02-15,248868597181.0,3.9261,22.314,0.041309,0.044815
2019-02-14,2019-02-14,246344693955.0,3.8862,22.0878,0.041732,0.045274
2019-02-13,2019-02-13,244759917511.0,3.8612,21.9457,0.042002,0.045567
2019-02-12,2019-02-12,245757739716.0,3.877,22.0351,0.041832,0.045382
2019-02-11,2019-02-11,244642526663.0,3.8594,21.9351,0.042022,0.045589
2019-02-08,2019-02-08,247870774975.0,3.9103,22.2246,0.041475,0.044995
2019-02-07,2019-02-07,244759917511.0,3.8612,21.9457,0.042002,0.045567
2019-02-06,2019-02-06,248457729214.0,3.9196,22.2772,0.041377,0.044889
2019-02-05,2019-02-05,247166429889.0,3.8992,22.1614,0.041593,0.045123
2019-02-04,2019-02-04,249103378877.0,3.9298,22.3351,0.04127,0.044773
2019-02-01,2019-02-01,251685977527.0,3.9705,22.5667,0.040846,0.044313
2019-01-31,2019-01-31,249162074300.0,3.9307,22.3404,0.04126,0.044762
2019-01-30,2019-01-30,241942537165.0,3.8168,21.693,0.041503,0.046098
2019-01-29,2019-01-29,237229370857.0,3.7424,21.2705,0.042328,0.047014
2019-01-28,2019-01-28,230014153298.0,3.6286,20.6235,0.043655,0.048488
2019-01-25,2019-01-25,236472936758.0,3.7305,21.2026,0.042463,0.047164
2019-01-24,2019-01-24,238276741148.0,3.759,21.3644,0.042142,0.046807
2019-01-23,2019-01-23,245317396991.0,3.87,21.9956,0.040932,0.045464
2019-01-22,2019-01-22,245957456613.0,3.8801,22.053,0.040826,0.045345
2019-01-18,2019-01-18,247470324811.0,3.904,22.1887,0.040576,0.045068
2019-01-17,2019-01-17,247121201381.0,3.8985,22.1574,0.040633,0.045132
2019-01-16,2019-01-16,245026460799.0,3.8654,21.9696,0.040981,0.045518
2019-01-15,2019-01-15,248634069578.0,3.9224,22.293,0.040386,0.044857
2019-01-14,2019-01-14,246539328997.0,3.8893,22.1052,0.040729,0.045238
2019-01-11,2019-01-11,249506878154.0,3.9361,22.3713,0.040245,0.0447
2019-01-10,2019-01-10,246190205567.0,3.8838,22.0739,0.040787,0.045302
