date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
25/12/2015,30/09/2015,23939000000,30286000000,30286000000,-0.069558,0.371328,1.68,58.9596,1.3827,0.085028,-0.010724,2.944402,1.4682,0.085423,0.009684,-0.02982,5.92,34685000000,2.41712E+12,2.17139E+12,3.39775E+11,23939000000,23939000000,9716000000,-99346000000,-99346000000
28/12/2015,30/09/2015,23939000000,30286000000,30286000000,-0.069558,0.371328,1.68,58.9596,1.3827,0.085028,-0.010724,2.944402,1.4682,0.085423,0.009684,-0.02982,5.92,34685000000,2.41712E+12,2.17139E+12,3.39775E+11,23939000000,23939000000,9716000000,-99346000000,-99346000000
29/12/2015,30/09/2015,23939000000,30286000000,30286000000,-0.069558,0.371328,1.68,58.9596,1.3827,0.085028,-0.010724,2.944402,1.4682,0.085423,0.009684,-0.02982,5.92,34685000000,2.41712E+12,2.17139E+12,3.39775E+11,23939000000,23939000000,9716000000,-99346000000,-99346000000
30/12/2015,30/09/2015,23939000000,30286000000,30286000000,-0.069558,0.371328,1.68,58.9596,1.3827,0.085028,-0.010724,2.944402,1.4682,0.085423,0.009684,-0.02982,5.92,34685000000,2.41712E+12,2.17139E+12,3.39775E+11,23939000000,23939000000,9716000000,-99346000000,-99346000000
31/12/2015,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
01/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
04/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
05/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
06/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
07/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
08/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
11/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
12/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
13/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
14/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
15/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
18/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
19/01/2016,31/12/2015,24442000000,56223000000,56223000000,0.005189,0.381023,1.72,65.6066,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
